"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\dev\build_buddy_1.2\frontend\src\lib\assetUtils.ts", "TypeScript", 9, 1, 3, 13
"c:\dev\build_buddy_1.2\frontend\src\lib\axiosUtils.ts", "TypeScript", 14, 2, 3, 19
"c:\dev\build_buddy_1.2\frontend\src\lib\utils.ts", "TypeScript", 5, 3, 4, 12
"Total", "-", 28, 6, 10, 44
