"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\dev\build_buddy_1.2\frontend\src\validators\loginSchema.ts", "TypeScript", 5, 0, 2, 7
"c:\dev\build_buddy_1.2\frontend\src\validators\projectSchema.ts", "TypeScript", 29, 0, 3, 32
"c:\dev\build_buddy_1.2\frontend\src\validators\registerSchema.ts", "TypeScript", 12, 2, 2, 16
"c:\dev\build_buddy_1.2\frontend\src\validators\taskSchema.ts", "TypeScript", 30, 0, 2, 32
"Total", "-", 76, 2, 9, 87
